Costo,Presupuesto,Tiempo_invertido,Tipo,Momento,No_de_personas
100.0,200.0,25,0,1,1
35.0,200.0,90,1,2,4
12.0,30.0,5,2,2,1
200.0,300.0,90,3,2,1
50.0,60.0,10,2,1,1
200.0,300.0,90,3,2,1
100.0,200.0,15,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,25,0,1,1
800.0,1000.0,60,1,1,3
1700.0,1000.0,60,3,1,1
195.0,200.0,10,2,2,1
800.0,1000.0,60,1,1,3
270.0,400.0,180,1,2,3
400.0,500.0,10,2,3,3
200.0,300.0,60,3,2,1
100.0,200.0,25,0,1,1
20.0,30.0,10,2,2,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
12.0,20.0,5,2,2,1
25.0,30.0,5,2,2,1
200.0,300.0,90,3,2,1
100.0,200.0,25,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,25,0,1,1
716.0,900.0,60,1,2,2
500.0,700.0,50,1,2,3
55.0,60.0,10,2,2,2
360.0,400.0,40,2,3,3
70.0,100.0,20,2,1,3
59.0,100.0,20,2,2,2
300.0,400.0,40,2,3,3
1100.0,1500.0,60,1,1,5
80.0,100.0,10,2,2,2
80.0,100.0,10,2,3,1
100.0,200.0,25,0,1,1
470.0,500.0,10,2,2,1
35.0,40.0,10,2,2,1
200.0,300.0,90,3,2,1
100.0,200.0,25,0,1,1
28.0,30.0,20,2,2,1
50.0,100.0,10,2,1,1
200.0,300.0,90,3,2,1
100.0,200.0,25,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,25,0,1,1
377.0,400.0,180,1,3,2
100.0,200.0,25,0,1,1
160.0,200.0,120,1,2,2
760.0,800.0,60,1,1,3
779.0,800.0,120,1,3,2
1800.0,2000.0,60,1,2,3
120.0,200.0,10,2,2,2
100.0,200.0,25,0,1,1
15.0,20.0,10,2,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
515.0,600.0,60,1,3,2
100.0,200.0,15,0,1,1
192.0,200.0,45,2,1,1
150.0,200.0,60,1,2,1
268.0,300.0,45,2,1,1
850.0,900.0,70,1,3,3
100.0,200.0,15,0,1,1
100.0,200.0,15,0,1,1
100.0,200.0,15,0,1,1
100.0,200.0,15,0,1,1
150.0,300.0,60,4,3,1
100.0,200.0,15,0,1,1
40.0,100.0,10,2,2,2
820.0,900.0,120,1,1,3
561.0,600.0,120,1,2,3
650.0,800.0,45,1,3,3
530.0,700.0,120,2,1,3
125.0,200.0,20,2,2,2
1920.0,2000.0,120,1,3,3
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
250.0,300.0,120,1,2,3
100.0,200.0,20,0,1,1
530.0,600.0,120,1,1,3
700.0,800.0,40,2,3,3
650.0,700.0,30,1,1,3
865.0,900.0,120,1,3,2
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
530.0,600.0,120,1,1,3
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
226.0,300.0,60,2,1,1
583.0,600.0,50,1,2,2
690.0,700.0,130,1,1,2
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
630.0,700.0,120,1,1,3
561.0,600.0,120,1,2,3
380.0,500.0,30,2,2,3
650.0,700.0,90,1,1,3
550.0,600.0,20,2,3,3
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
1500.0,1000.0,60,4,1,5
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
1800.0,2000.0,90,1,2,3
120.0,200.0,15,2,2,2
200.0,300.0,20,2,1,3
180.0,200.0,15,2,2,3
850.0,900.0,90,1,2,3
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
100.0,200.0,20,0,1,1
200.0,300.0,90,3,2,1
